City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Igrim,RU,2022-01-25 01:13:22,63.1906,64.4162,-4.34,99,15,5.64
88,Tigil,RU,2022-01-25 01:13:22,57.8,158.6667,-4.34,96,97,2.15
89,Port Hardy,CA,2022-01-25 01:11:44,50.6996,-127.4199,44.76,82,49,4.09
90,Mar Del Plata,AR,2022-01-25 01:09:11,-38.0023,-57.5575,71.87,87,0,7.0
91,Scalea,IT,2022-01-25 01:14:23,39.813,15.7956,37.67,53,0,8.03
92,Nyagan,RU,2022-01-25 01:14:23,62.1406,65.3936,-2.2,99,32,4.63
93,Saint-Dizier,FR,2022-01-25 01:14:24,48.4167,5.0833,28.45,77,0,3.02
94,Opuwo,NA,2022-01-25 01:14:24,-18.0607,13.84,71.55,39,43,3.69
95,Ati,TD,2022-01-25 01:14:24,13.2154,18.3353,64.74,17,0,10.47
96,Itum-Kale,RU,2022-01-25 01:14:25,42.7356,45.5758,30.65,66,2,6.69
97,Cape Town,ZA,2022-01-25 01:10:06,-33.9258,18.4232,69.89,86,16,5.01
98,Khatanga,RU,2022-01-25 01:14:25,71.9667,102.5,10.08,93,100,19.26
99,Carnarvon,AU,2022-01-25 01:11:07,-24.8667,113.6333,87.87,35,0,19.57
100,Santa Fe,AR,2022-01-25 01:09:54,-31.6333,-60.7,80.01,87,100,1.99
101,Kahului,US,2022-01-25 01:14:26,20.8947,-156.47,80.62,69,20,26.46
102,Komsomolskiy,UZ,2022-01-25 01:11:33,40.4272,71.7189,29.62,54,100,2.68
103,Moose Factory,CA,2022-01-25 01:14:26,51.2585,-80.6094,-18.4,76,100,5.75
104,El Alto,PE,2022-01-25 01:14:26,-4.2714,-81.2147,69.04,86,87,16.06
105,Poum,NC,2022-01-25 01:14:27,-20.2333,164.0167,79.72,73,0,13.8
106,Laurel,US,2022-01-25 01:09:29,39.0993,-76.8483,37.6,74,0,3.0
107,Guerrero Negro,MX,2022-01-25 01:06:54,27.9769,-114.0611,62.91,59,0,13.06
