City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
368,Longmont,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
369,College,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
370,Mpika,ZM,-16.1167,23.2667,67.89,74,100,2.24,overcast clouds
371,Bonthe,SL,7.5264,-12.505,77.18,79,5,6.26,clear sky
372,Sukhaya Buyvola,RU,53.6907,33.5071,15.78,96,100,4.74,snow
373,Bitung,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
374,Sakakah,SA,17.1495,42.6254,74.82,73,9,3.36,clear sky
375,Oistins,BB,13.2167,-59.5167,74.01,83,75,9.22,broken clouds
376,Saint Andrews,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
377,Adana,TR,40.9086,37.6845,25.3,98,100,2.53,light snow
378,Sinnamary,GF,5.6592,-53.7767,76.55,84,94,9.42,overcast clouds
379,Honiara,PT,40.1629,-8.3327,49.82,86,3,4.68,clear sky
380,Altonia,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
381,Makokou,GA,-3.432,10.6554,74.82,90,67,2.3,broken clouds
382,Aleksandro-Nevskiy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
383,Namibe,AO,-12.7761,15.7392,59.79,81,96,1.54,overcast clouds
384,Gat,IL,31.61,34.7642,50.4,100,9,10.38,clear sky
385,Manono,PH,14.9167,120.55,80.67,74,79,7.7,broken clouds
386,Puerto Del Rosario,ES,43.4198,-4.7549,46.89,67,0,3.22,clear sky
387,Plettenberg Bay,ZA,-33.9258,18.4232,68.41,76,0,7.0,clear sky
388,Koslan,RU,53.6907,33.5071,15.78,96,100,4.74,snow
389,Comodoro Rivadavia,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
390,Westport,IE,52.3342,-6.4575,43.57,82,60,3.78,broken clouds
391,Kushiro,JP,35.1333,140.3,44.19,92,99,15.68,overcast clouds
392,Vestmannaeyjar,IS,63.8424,-22.4338,30.67,86,75,3.44,broken clouds
393,Canutama,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
394,Ocampo,MX,22.8909,-109.9124,72.7,53,20,4.0,few clouds
395,Bur Gabo,SO,5.3505,48.5268,75.45,63,4,19.44,clear sky
396,Nepa Nagar,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
397,Boyolangu,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
398,Coos Bay,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
399,Purificacion,CO,3.8587,-74.9313,79.03,77,88,3.4,overcast clouds
400,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,100,5.75,overcast clouds
401,Belyy Yar,RU,53.6907,33.5071,15.78,96,100,4.74,snow
402,Matinhos,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
403,Barra Do Garcas,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
404,Harrisburg,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
405,Burley,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
406,Tuysarkan,IR,25.2919,60.643,66.31,37,0,3.49,clear sky
407,Dhidhdhoo,MV,-0.6,73.0833,80.98,67,91,16.26,overcast clouds
408,Grand Gaube,MU,-20.4081,57.7,73.26,69,72,14.5,broken clouds
